2025-05-20 13:21:31.792 | main | INFO  | com.llf.TliasWebManagementApplication - Starting TliasWebManagementApplication using Java 17.0.9 with PID 12072 (D:\交易帮\后端源码\web-ai-project01\tlias-web-management\target\classes started by 梁骆富 in D:\交易帮\后端源码\web-ai-project01)
2025-05-20 13:21:31.794 | main | INFO  | com.llf.TliasWebManagementApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-20 13:21:32.861 | main | INFO  | org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2025-05-20 13:21:32.862 | main | INFO  | org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-05-20 13:21:32.862 | main | INFO  | org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-05-20 13:21:32.929 | main | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-20 13:21:33.748 | main | INFO  | org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2025-05-20 13:21:33.770 | main | INFO  | com.llf.TliasWebManagementApplication - Started TliasWebManagementApplication in 2.312 seconds (process running for 2.83)
2025-05-20 13:21:40.670 | main | INFO  | com.llf.TliasWebManagementApplication - Starting TliasWebManagementApplication using Java 17.0.9 with PID 14284 (D:\交易帮\后端源码\web-ai-project01\tlias-web-management\target\classes started by 梁骆富 in D:\交易帮\后端源码\web-ai-project01)
2025-05-20 13:21:40.672 | main | INFO  | com.llf.TliasWebManagementApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-20 13:21:41.672 | main | INFO  | org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2025-05-20 13:21:41.673 | main | INFO  | org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-05-20 13:21:41.673 | main | INFO  | org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-05-20 13:21:41.738 | main | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-20 13:21:42.500 | main | INFO  | org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2025-05-20 13:21:42.527 | main | INFO  | com.llf.TliasWebManagementApplication - Started TliasWebManagementApplication in 2.131 seconds (process running for 2.526)
2025-05-20 13:22:19.470 | http-nio-8081-exec-2 | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-05-20 13:22:19.563 | http-nio-8081-exec-2 | INFO  | com.llf.interceptor.TokenInterceptor - Interceptor令牌非法
2025-05-20 13:22:19.563 | http-nio-8081-exec-1 | INFO  | com.llf.interceptor.TokenInterceptor - Interceptor令牌非法
2025-05-20 13:22:32.063 | http-nio-8081-exec-3 | INFO  | com.llf.controller.LoginInfoController - 登录Emp{id=null, username='shinaian', password='123456', name='null', gender=null, phone='null', job=null, salary=null, image='null', entryDate=null, deptId=null, createTime=null, updateTime=null, deptName='null', exprList=null}
2025-05-20 13:22:32.102 | http-nio-8081-exec-3 | INFO  | com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-05-20 13:22:32.450 | http-nio-8081-exec-3 | INFO  | com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@7ff48b16
2025-05-20 13:22:32.451 | http-nio-8081-exec-3 | INFO  | com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-05-20 13:22:32.535 | http-nio-8081-exec-3 | INFO  | com.llf.aop.RecordTimeAspect - 方法Result com.llf.controller.LoginInfoController.login(Emp)执行耗时:472ms
2025-05-20 13:22:32.539 | http-nio-8081-exec-3 | INFO  | com.llf.aop.RecordTimeAspect - 记录操作日志：OperateLog(id=null, operateEmpName=null, operateTime=2025-05-20T13:22:32.539262800, className=com.llf.controller.LoginInfoController, methodName=login, methodParams=[Emp{id=null, username='shinaian', password='123456', name='null', gender=null, phone='null', job=null, salary=null, image='null', entryDate=null, deptId=null, createTime=null, updateTime=null, deptName='null', exprList=null}], returnValue=com.llf.pojo.Result@2e2ed4b, costTime=472)
2025-05-20 13:22:35.362 | http-nio-8081-exec-4 | INFO  | com.llf.interceptor.TokenInterceptor - Interceptor拦截到的id为:1
2025-05-20 13:22:35.362 | http-nio-8081-exec-5 | INFO  | com.llf.interceptor.TokenInterceptor - Interceptor拦截到的id为:1
2025-05-20 13:22:35.362 | http-nio-8081-exec-4 | INFO  | com.llf.interceptor.TokenInterceptor - Interceptor令牌合法，放行
2025-05-20 13:22:35.362 | http-nio-8081-exec-5 | INFO  | com.llf.interceptor.TokenInterceptor - Interceptor令牌合法，放行
2025-05-20 13:22:35.372 | http-nio-8081-exec-5 | INFO  | com.llf.aop.RecordTimeAspect - 方法Result com.llf.controller.ReportController.studentDegreeData()执行耗时:9ms
